"Instituição","Instituição Dependente"
"BANCO TRICURY S.A.","BANCO TRICURY S.A."
"BANCO VOITER S.A.","BANCO LETSBANK S.A."
"BANCO VOITER S.A.","BANCO MASTER DE INVESTIMENTO S.A."
"BANCO VOITER S.A.","BANCO MASTER S/A"
"BANCO VOITER S.A.","BANCO VOITER S.A."
"BANCO VOLKSWAGEN S.A.","BANCO VOLKSWAGEN S.A."
"BANCO VOLVO BRASIL S.A.","BANCO VOLVO BRASIL S.A."
"BANCO VOTORANTIM S.A.","BANCO BV S.A."
"BANCO VR S.A.","BANCO VR S.A."
"BANCO WESTERN UNION DO BRASIL S.A.","BANCO WESTERN UNION DO BRASIL S.A."
"BANCO WOORI BANK DO BRASIL S.A.","BANCO WOORI BANK DO BRASIL S.A."
"BANCO XCMG BRASIL S.A.","BANCO XCMG BRASIL S.A."
"BANCO XP S.A.","BANCO MODAL S.A."
"BANCO XP S.A.","BANCO XP S.A."
"BANCO YAMAHA MOTOR DO BRASIL S.A.","BANCO YAMAHA MOTOR DO BRASIL S.A."
"BANCOSEGURO S.A.","BANCOSEGURO S.A."
"BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO"
"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.","BANCO LETSBANK S.A."
"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.","BANCO MASTER DE INVESTIMENTO S.A."
"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.","BANCO MASTER S/A"
"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.","BANCO VOITER S.A."
"BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.","BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A."
"BARI COMPANHIA HIPOTECÁRIA","BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A."
"BARI COMPANHIA HIPOTECÁRIA","BARI COMPANHIA HIPOTECÁRIA"
"BB-BANCO DE INVESTIMENTO S/A","BANCO DO BRASIL S.A."
"BB-BANCO DE INVESTIMENTO S/A","BB-BANCO DE INVESTIMENTO S/A"
"BBVA BRASIL BANCO DE INVESTIMENTO S.A.","BBVA BRASIL BANCO DE INVESTIMENTO S.A."
"BCV - BANCO DE CRÉDITO E VAREJO S.A.","BANCO BMG S.A."
"BCV - BANCO DE CRÉDITO E VAREJO S.A.","BANCO CIFRA S.A."
"BCV - BANCO DE CRÉDITO E VAREJO S.A.","BCV - BANCO DE CRÉDITO E VAREJO S.A."
"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
"BNY MELLON BANCO S.A.","BNY MELLON BANCO S.A."
"BR PARTNERS BANCO DE INVESTIMENTO S.A.","BR PARTNERS BANCO DE INVESTIMENTO S.A."
"BRB - BANCO DE BRASILIA S.A.","BRB - BANCO DE BRASILIA S.A."
"BRB - BANCO DE BRASILIA S.A.","BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A","BRB - BANCO DE BRASILIA S.A."
"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A","BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"CAIXA ECONOMICA FEDERAL","CAIXA ECONOMICA FEDERAL"
"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS","CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS"
"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS","CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A"
"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A","CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS"
"CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A","CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A"
"CITIBANK N.A.","BANCO CITIBANK S.A."
"CITIBANK N.A.","CITIBANK N.A."
"COBANSA COMPANHIA HIPOTECARIA","COBANSA COMPANHIA HIPOTECARIA"
"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"COMPANHIA HIPOTECÁRIA PIRATINI - CHP","COMPANHIA HIPOTECÁRIA PIRATINI - CHP"
"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO MERCANTIL DE INVESTIMENTOS S/A"
"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO CREFISA S.A."
"CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS","CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.","BANCO DAYCOVAL S.A."
"DELFIN RIO S/A CREDITO IMOBILIARIO","DELFIN RIO S/A CREDITO IMOBILIARIO"
"DELFIN S.A. - CREDITO IMOBILIARIO","DELFIN S.A. - CREDITO IMOBILIARIO"
"DEUTSCHE BANK S.A. - BANCO ALEMAO","DEUTSCHE BANK S.A. - BANCO ALEMAO"
"DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.","DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A."
"DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO","DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO"
"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A.","DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A."
"ECONOMISA COMPANHIA HIPOTECÁRIA.","ECONOMISA COMPANHIA HIPOTECÁRIA."
"FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO","FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO"
"FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA","FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA"
"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO ALFA DE INVESTIMENTO S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO ALFA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO J. SAFRA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO SAFRA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO INVESTCRED UNIBANCO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ BBA S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ CONSIGNADO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ VEÍCULOS S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUBANK S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUCARD S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","HIPERCARD BANCO MÚLTIPLO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO HOLDING S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.","GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A."
"GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.","HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO INVESTCRED UNIBANCO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ BBA S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ CONSIGNADO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ VEÍCULOS S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAUBANK S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAUCARD S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"HIPERCARD BANCO MÚLTIPLO S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","ITAÚ UNIBANCO HOLDING S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","ITAÚ UNIBANCO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS","HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"ICBC DO BRASIL BANCO MÚLTIPLO S.A.","ICBC DO BRASIL BANCO MÚLTIPLO S.A."
"INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO","INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO"
"ITAÚ UNIBANCO HOLDING S.A.","BANCO INVESTCRED UNIBANCO S.A."
"ITAÚ UNIBANCO HOLDING S.A.","BANCO ITAÚ BBA S.A."
"ITAÚ UNIBANCO HOLDING S.A.","BANCO ITAÚ CONSIGNADO S.A."
"ITAÚ UNIBANCO HOLDING S.A.","BANCO ITAÚ VEÍCULOS S.A."
"ITAÚ UNIBANCO HOLDING S.A.","BANCO ITAUBANK S.A."
"ITAÚ UNIBANCO HOLDING S.A.","BANCO ITAUCARD S.A."
"ITAÚ UNIBANCO HOLDING S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"ITAÚ UNIBANCO HOLDING S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"ITAÚ UNIBANCO HOLDING S.A.","ITAÚ UNIBANCO HOLDING S.A."
"ITAÚ UNIBANCO HOLDING S.A.","ITAÚ UNIBANCO S.A."
"ITAÚ UNIBANCO HOLDING S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"ITAÚ UNIBANCO S.A.","BANCO INVESTCRED UNIBANCO S.A."
"ITAÚ UNIBANCO S.A.","BANCO ITAÚ BBA S.A."
"ITAÚ UNIBANCO S.A.","BANCO ITAÚ CONSIGNADO S.A."
"ITAÚ UNIBANCO S.A.","BANCO ITAÚ VEÍCULOS S.A."
"ITAÚ UNIBANCO S.A.","BANCO ITAUBANK S.A."
"ITAÚ UNIBANCO S.A.","BANCO ITAUCARD S.A."
"ITAÚ UNIBANCO S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"ITAÚ UNIBANCO S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
"ITAÚ UNIBANCO S.A.","ITAÚ UNIBANCO HOLDING S.A."
"ITAÚ UNIBANCO S.A.","ITAÚ UNIBANCO S.A."
"ITAÚ UNIBANCO S.A.","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO","JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO"
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","BANCO J.P. MORGAN S.A."
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO BRADESCARD S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO BRADESCO BBI S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO BRADESCO BERJ S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO BRADESCO FINANCIAMENTOS S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO BRADESCO S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO DIGIO S.A."
"KIRTON BANK S.A. - BANCO MÚLTIPLO","BANCO LOSANGO S.A. - BANCO MÚLTIPLO"
"KIRTON BANK S.A. - BANCO MÚLTIPLO","KIRTON BANK S.A. - BANCO MÚLTIPLO"
"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A","LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO INVESTCRED UNIBANCO S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ BBA S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ CONSIGNADO S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ VEÍCULOS S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUBANK S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUCARD S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","HIPERCARD BANCO MÚLTIPLO S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO HOLDING S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO S.A."
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO","M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO"
"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO","NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO"
"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"OMNI BANCO S.A.","OMNI BANCO S.A."
"OMNI BANCO S.A.","OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO"
"OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO","OMNI BANCO S.A."
"OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO","OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO"
"PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO BTG PACTUAL S.A."
"PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO PAN S.A."
"PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO SISTEMA S.A."
"PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"PARANÁ BANCO S.A.","PARANÁ BANCO S.A."
"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"PICPAY BANK - BANCO MÚLTIPLO S.A","BANCO ORIGINAL S.A."
"PICPAY BANK - BANCO MÚLTIPLO S.A","PICPAY BANK - BANCO MÚLTIPLO S.A"
"PINTOS S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO","PINTOS S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO"
"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","BANCO ALFA DE INVESTIMENTO S.A."
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","BANCO ALFA S.A."
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","BANCO J. SAFRA S.A."
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","BANCO SAFRA S.A."
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"SCANIA BANCO S.A.","SCANIA BANCO S.A."
"SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO","SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO"
"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"SIMPALA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","SIMPALA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"SOCIAL BANK BANCO MÚLTIPLO S/A","SOCIAL BANK BANCO MÚLTIPLO S/A"
"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.","SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A."
"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"SOFISA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO SOFISA S.A."
"SOFISA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","SOFISA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO","STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO"
"STATE STREET BRASIL S.A. - BANCO COMERCIAL","STATE STREET BRASIL S.A. - BANCO COMERCIAL"
"STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","STONE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"UBS BRASIL BANCO DE INVESTIMENTO S.A.","UBS BRASIL BANCO DE INVESTIMENTO S.A."
"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A","ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
